<MetaData>
version:3.0
panel : google-fleb
date: 2024/11/22
refresh_rate_base: 60
refresh_rate_target: 120

<VoltageLut>

0000,6.5
0001,6.49861
0002,6.49722
0003,6.49583
0004,6.49443
0005,6.49304
0006,6.49165
0007,6.49026
0008,6.48887
0009,6.48748
000A,6.48608
000B,6.48469
000C,6.48330
000D,6.48191
000E,6.48052
000F,6.47913
0010,6.47773
0011,6.47634
0012,6.47495
0013,6.47356
0014,6.47217
0015,6.47078
0016,6.46938
0017,6.46799
0018,6.46660
0019,6.46521
001A,6.46382
001B,6.46243
001C,6.46104
001D,6.45964
001E,6.45825
001F,6.45686
0020,6.45547
0021,6.45408
0022,6.45269
0023,6.45129
0024,6.44990
0025,6.44851
0026,6.44712
0027,6.44573
0028,6.44434
0029,6.44294
002A,6.44155
002B,6.44016
002C,6.43877
002D,6.43738
002E,6.43599
002F,6.43459
0030,6.43320
0031,6.43181
0032,6.43042
0033,6.42903
0034,6.42764
0035,6.42625
0036,6.42485
0037,6.42346
0038,6.42207
0039,6.42068
003A,6.41929
003B,6.41790
003C,6.41650
003D,6.41511
003E,6.41372
003F,6.41233
0040,6.41094
0041,6.40955
0042,6.40815
0043,6.40676
0044,6.40537
0045,6.40398
0046,6.40259
0047,6.40120
0048,6.39980
0049,6.39841
004A,6.39702
004B,6.39563
004C,6.39424
004D,6.39285
004E,6.39146
004F,6.39006
0050,6.38867
0051,6.38728
0052,6.38589
0053,6.38450
0054,6.38311
0055,6.38171
0056,6.38032
0057,6.379
0058,6.37754
0059,6.376
005A,6.37476
005B,6.373
005C,6.37197
005D,6.37058
005E,6.36919
005F,6.36780
0060,6.36641
0061,6.36501
0062,6.36362
0063,6.36223
0064,6.36084
0065,6.35945
0066,6.35806
0067,6.35667
0068,6.35527
0069,6.35388
006A,6.35249
006B,6.35110
006C,6.34971
006D,6.34832
006E,6.34692
006F,6.34553
0070,6.34414
0071,6.34275
0072,6.34136
0073,6.33997
0074,6.33857
0075,6.33718
0076,6.33579
0077,6.33440
0078,6.33301
0079,6.33162
007A,6.33022
007B,6.32883
007C,6.32744
007D,6.32605
007E,6.32466
007F,6.32327
0080,6.32188
0081,6.32048
0082,6.31909
0083,6.31770
0084,6.31631
0085,6.31492
0086,6.31353
0087,6.31213
0088,6.31074
0089,6.30935
008A,6.30796
008B,6.30657
008C,6.30518
008D,6.30378
008E,6.30239
008F,6.30100
0090,6.29961
0091,6.29822
0092,6.29683
0093,6.29543
0094,6.29404
0095,6.29265
0096,6.29126
0097,6.28987
0098,6.28848
0099,6.28708
009A,6.28569
009B,6.28430
009C,6.28291
009D,6.28152
009E,6.28013
009F,6.27874
00A0,6.27734
00A1,6.27595
00A2,6.27456
00A3,6.27317
00A4,6.27178
00A5,6.27039
00A6,6.26899
00A7,6.26760
00A8,6.26621
00A9,6.26482
00AA,6.26343
00AB,6.26204
00AC,6.26064
00AD,6.25925
00AE,6.25786
00AF,6.25647
00B0,6.25508
00B1,6.25369
00B2,6.25229
00B3,6.25090
00B4,6.24951
00B5,6.24812
00B6,6.24673
00B7,6.24534
00B8,6.24395
00B9,6.24255
00BA,6.24116
00BB,6.23977
00BC,6.23838
00BD,6.23699
00BE,6.23560
00BF,6.23420
00C0,6.23281
00C1,6.23142
00C2,6.23003
00C3,6.22864
00C4,6.22725
00C5,6.22585
00C6,6.22446
00C7,6.22307
00C8,6.22168
00C9,6.22029
00CA,6.21890
00CB,6.21750
00CC,6.21611
00CD,6.21472
00CE,6.21333
00CF,6.21194
00D0,6.21055
00D1,6.20916
00D2,6.20776
00D3,6.20637
00D4,6.20498
00D5,6.20359
00D6,6.20220
00D7,6.20081
00D8,6.19941
00D9,6.19802
00DA,6.19663
00DB,6.19524
00DC,6.19385
00DD,6.19246
00DE,6.19106
00DF,6.18967
00E0,6.18828
00E1,6.18689
00E2,6.18550
00E3,6.18411
00E4,6.18271
00E5,6.18132
00E6,6.17993
00E7,6.17854
00E8,6.17715
00E9,6.17576
00EA,6.17437
00EB,6.17297
00EC,6.17158
00ED,6.17019
00EE,6.16880
00EF,6.16741
00F0,6.16602
00F1,6.16462
00F2,6.16323
00F3,6.16184
00F4,6.16045
00F5,6.15906
00F6,6.15767
00F7,6.15627
00F8,6.15488
00F9,6.15349
00FA,6.15210
00FB,6.15071
00FC,6.14932
00FD,6.14792
00FE,6.14653
00FF,6.14514
0100,6.14375
0101,6.14236
0102,6.14097
0103,6.13958
0104,6.13818
0105,6.13679
0106,6.13540
0107,6.13401
0108,6.13262
0109,6.13123
010A,6.12983
010B,6.12844
010C,6.12705
010D,6.12566
010E,6.12427
010F,6.12288
0110,6.12148
0111,6.12009
0112,6.11870
0113,6.11731
0114,6.11592
0115,6.11453
0116,6.11313
0117,6.11174
0118,6.11035
0119,6.10896
011A,6.10757
011B,6.10618
011C,6.10479
011D,6.10339
011E,6.10200
011F,6.10061
0120,6.09922
0121,6.09783
0122,6.09644
0123,6.09504
0124,6.09365
0125,6.09226
0126,6.09087
0127,6.08948
0128,6.08809
0129,6.08669
012A,6.08530
012B,6.08391
012C,6.08252
012D,6.08113
012E,6.07974
012F,6.07834
0130,6.07695
0131,6.07556
0132,6.07417
0133,6.07278
0134,6.07139
0135,6.07000
0136,6.06860
0137,6.06721
0138,6.06582
0139,6.06443
013A,6.06304
013B,6.06165
013C,6.06025
013D,6.05886
013E,6.05747
013F,6.05608
0140,6.05469
0141,6.05330
0142,6.05190
0143,6.05051
0144,6.04912
0145,6.04773
0146,6.04634
0147,6.04495
0148,6.04355
0149,6.04216
014A,6.04077
014B,6.03938
014C,6.03799
014D,6.03660
014E,6.03521
014F,6.03381
0150,6.03242
0151,6.03103
0152,6.02964
0153,6.02825
0154,6.02686
0155,6.02546
0156,6.02407
0157,6.02268
0158,6.02129
0159,6.01990
015A,6.01851
015B,6.01711
015C,6.01572
015D,6.01433
015E,6.01294
015F,6.01155
0160,6.01016
0161,6.00876
0162,6.00737
0163,6.00598
0164,6.00459
0165,6.00320
0166,6.00181
0167,6.00042
0168,5.99902
0169,5.99763
016A,5.99624
016B,5.99485
016C,5.99346
016D,5.99207
016E,5.99067
016F,5.98928
0170,5.98789
0171,5.98650
0172,5.98511
0173,5.98372
0174,5.98232
0175,5.98093
0176,5.97954
0177,5.97815
0178,5.97676
0179,5.97537
017A,5.97397
017B,5.97258
017C,5.97119
017D,5.96980
017E,5.96841
017F,5.96702
0180,5.96563
0181,5.96423
0182,5.96284
0183,5.96145
0184,5.96006
0185,5.95867
0186,5.95728
0187,5.95588
0188,5.95449
0189,5.95310
018A,5.95171
018B,5.95032
018C,5.94893
018D,5.94753
018E,5.94614
018F,5.94475
0190,5.94336
0191,5.94197
0192,5.94058
0193,5.93918
0194,5.93779
0195,5.93640
0196,5.93501
0197,5.93362
0198,5.93223
0199,5.93083
019A,5.92944
019B,5.92805
019C,5.92666
019D,5.92527
019E,5.92388
019F,5.92249
01A0,5.92109
01A1,5.91970
01A2,5.91831
01A3,5.91692
01A4,5.91553
01A5,5.91414
01A6,5.91274
01A7,5.91135
01A8,5.90996
01A9,5.90857
01AA,5.90718
01AB,5.90579
01AC,5.90439
01AD,5.90300
01AE,5.90161
01AF,5.90022
01B0,5.89883
01B1,5.89744
01B2,5.89604
01B3,5.89465
01B4,5.89326
01B5,5.89187
01B6,5.89048
01B7,5.88909
01B8,5.88770
01B9,5.88630
01BA,5.88491
01BB,5.88352
01BC,5.88213
01BD,5.88074
01BE,5.87935
01BF,5.87795
01C0,5.87656
01C1,5.87517
01C2,5.87378
01C3,5.87239
01C4,5.87100
01C5,5.86960
01C6,5.86821
01C7,5.86682
01C8,5.86543
01C9,5.86404
01CA,5.86265
01CB,5.86125
01CC,5.85986
01CD,5.85847
01CE,5.85708
01CF,5.85569
01D0,5.85430
